DAY,Srevenue,Price = (Srevenue/Squantity),Squantity,SMA(4),SMA(9),
249,2816,234.6666666667,107,107,121.125,251.0933333333
250,1408,234.6666666667,99,107.25,121.125,232.32
251,2816,234.6666666667,186,128,133.375,436.48
252,6806,234.6896551724,295,171.75,151.625,692.3344827586
253,-234,234,88,167,137,205.92
254,234,234,101,167.5,137.375,236.34
255,469,234.5,109,148.25,138.125,255.605
256,1408,234.6666666667,94,98,134.875,220.5866666667
257,469,234.5,97,100.25,133.625,227.465
258,469,234.5,185,121.25,144.375,433.825
259,1643,234.7142857143,251,156.75,152.5,589.1328571429
260,1173,234.6,136,167.25,132.625,319.056
261,938,234.5,159,182.75,141.5,372.855
262,1408,234.6666666667,156,175.5,148.375,366.08
263,0,0,48,124.75,140.75,0
264,704,234.6666666667,107,117.5,142.375,251.0933333333
265,469,234.5,163,118.5,150.625,382.235
266,1643,234.7142857143,218,134,154.75,511.6771428571
267,938,234.5,110,149.5,137.125,257.95
268,234,234,115,151.5,134.5,269.1
269,234,234,92,133.75,126.125,215.28
270,704,234.6666666667,108,106.25,120.125,253.44
271,704,234.6666666667,91,101.5,125.5,213.5466666667
272,234,234,203,123.5,137.5,475.02
273,1877,234.625,219,155.25,144.5,513.82875
274,1173,234.6,92,151.25,128.75,215.832
275,234,234,113,156.75,129.125,264.42
276,469,234.5,104,132,127.75,243.88
277,0,0,106,103.75,129.5,0
278,147,147,108,107.75,129.5,158.76
279,441,147,186,126,141.375,273.42
280,441,147,328,182,157,482.16
281,147,147,120,185.5,144.625,176.4
282,147,147,105,184.75,146.25,154.35
283,147,147,82,158.75,142.375,120.54
284,234,234,97,101,141.5,226.98
285,147,147,112,99,142.25,164.64
286,268,134,185,119,151.875,247.9
287,806,134.3333333333,249,160.75,159.75,334.49
288,672,134.4,91,159.25,130.125,122.304
289,403,134.3333333333,108,158.25,128.625,145.08
290,403,134.3333333333,111,139.75,129.375,149.11
291,268,134,83,98.25,129.5,111.22
292,1210,134.4444444444,108,102.5,130.875,145.2
293,1748,134.4615384615,189,122.75,140.5,254.1323076923
294,4437,134.4545454545,292,168,153.875,392.6072727273
295,672,134.4,86,168.75,133.5,115.584
296,1210,134.4444444444,85,163,132.75,114.2777777778
297,1613,134.4166666667,129,148,135.375,173.3975
298,2286,134.4705882353,346,161.5,164.75,465.2682352941
299,1882,134.4285714286,182,185.5,177.125,244.66
300,1344,134.4,186,210.75,186.875,249.984
300,2555,134.4736842105,181,223.75,185.875,243.3973684211
301,134,134,72,155.25,158.375,96.48
302,806,134.3333333333,69,127,156.25,92.69
303,134,134,52,93.5,152.125,69.68
304,0,0,78,67.75,145.75,0
305,109,109,73,68,111.625,79.57
306,218,109,165,92,109.5,179.85
307,1526,109,305,155.25,124.375,332.45
308,109,109,98,160.25,114,106.82
309,327,109,85,163.25,115.625,92.65
310,327,109,91,144.75,118.375,99.19
311,436,109,112,96.5,125.875,122.08
312,436,109,87,93.75,127,94.83
313,545,109,230,130,146.625,250.7
314,872,109,321,187.5,166.125,349.89
315,654,109,112,187.5,142,122.08
316,436,109,116,194.75,144.25,126.44
317,436,109,81,157.5,143.75,88.29
318,218,109,97,101.5,144.5,105.73
319,436,109,102,99,143.25,111.18
320,109,109,182,115.5,155.125,198.38
321,1090,109,266,161.75,159.625,289.94
322,218,109,108,164.5,133,117.72
323,436,109,104,165,132,113.36
324,654,109,96,143.5,129.5,104.64
325,218,109,104,103,132.375,113.36
326,654,109,79,95.75,130.125,86.11
327,981,109,535,203.5,184.25,583.15
328,1090,109,423,285.25,214.375,461.07
329,436,109,99,284,193.5,107.91
330,327,109,88,286.25,191,95.92
331,545,109,98,177,190.25,106.82
332,218,109,75,90,187.625,81.75
333,981,109,82,85.75,184.875,89.38
334,981,109,213,117,201.625,232.17
335,1417,109,278,162,169.5,303.02
336,763,109,87,165,127.5,94.83
337,327,109,99,169.25,127.5,107.91
338,436,109,109,143.25,130.125,118.81
339,327,109,115,102.5,132.25,125.35
340,654,109,110,108.25,136.625,119.9
341,2072,109.0526315789,281,153.75,161.5,306.4378947368
342,2617,109.0416666667,420,231.5,187.375,457.975
343,654,109,113,231,166.75,123.17
344,327,109,96,227.5,167.875,104.64
345,-109,109,75,176,164.875,81.75
346,327,109,123,101.75,166.625,134.07
347,2726,109.04,192,121.5,176.25,209.3568
348,3708,109.0588235294,522,228,227.75,569.2870588235
349,2508,109.0434782609,516,338.25,257.125,562.6643478261
350,654,109,107,334.25,218,116.63
351,327,109,92,309.25,215.375,100.28
352,327,109,106,205.25,216.625,115.54
353,2181,109.05,150,113.75,226,163.575
354,763,109,145,123.25,228.75,158.05
355,3381,109.064516129,314,178.75,244,342.4625806452
356,2290,109.0476190476,377,246.5,225.875,411.1095238095
357,1417,109,147,245.75,179.75,160.23
358,1090,109,156,248.5,185.875,170.04
359,1963,109.0555555556,149,207.25,193,162.4927777778
360,545,109,102,138.5,192.5,111.18
365,1199,109,168,143.75,194.75,183.12
366,3272,109.0666666667,203,155.5,202,221.4053333333
367,1963,109.0555555556,204,169.25,188.25,222.4733333333
368,872,109,68,160.75,149.625,74.12
369,872,109,80,138.75,141.25,87.2
370,1308,109,80,108,131.75,87.2
371,327,109,79,76.75,123,86.11
372,872,109,76,78.75,119.75,82.84
373,2399,109.0454545455,192,106.75,122.75,209.3672727273
374,3272,109.0666666667,235,145.5,126.75,256.3066666667
375,1417,109,90,148.25,112.5,98.1
376,763,109,97,153.5,116.125,105.73
377,0,0,84,126.5,116.625,0
378,1090,109,102,93.25,119.375,111.18
379,872,109,90,93.25,120.75,98.1
380,2617,109.0416666667,197,118.25,135.875,214.8120833333
381,2072,109.0526315789,212,150.25,138.375,231.1915789474
382,872,109,88,146.75,120,95.92
383,872,109,94,147.75,120.5,102.46
384,218,109,78,118,118.125,85.02
385,1854,109.0588235294,104,91,120.625,113.4211764706
386,1854,109.0588235294,107,95.75,121.25,116.6929411765
387,1854,109.0588235294,168,114.25,131,183.2188235294
388,4253,109.0512820513,256,158.75,138.375,279.1712820513
389,654,109,87,154.5,122.75,94.83
390,872,109,83,148.5,122.125,90.47
391,327,109,95,130.25,122.25,103.55
392,872,109,122,96.75,127.75,132.98
393,218,109,133,108.25,131.375,144.97
394,1636,109.0666666667,202,138,143.25,220.3146666667
395,981,109,249,176.5,153.375,271.41
395,545,109,85,167.25,132,92.65
396,436,109,88,156,132.125,95.92
397,763,109,95,129.25,133.625,103.55
398,872,109,92,90,133.25,100.28
399,327,109,84,89.75,128.5,91.56
400,0,0,188,114.75,135.375,0
401,3053,109.0357142857,256,155,142.125,279.1314285714
402,0,0,98,156.5,123.25,0
403,0,0,81,155.75,122.75,0
404,418,209,88,130.75,122.75,183.92
405,418,209,99,91.5,123.25,206.91
406,837,209.25,127,98.75,127.625,265.7475
407,84,84,294,152,153.875,246.96
408,3141,209.4,478,249.5,190.125,1000.932
409,0,0,102,250.25,170.875,0
410,0,0,73,236.75,167.75,0
411,0,0,87,185,168.5,0
412,193,96.5,102,91,170.25,98.43
413,628,209.3333333333,85,86.75,168.5,177.9333333333
414,837,209.25,201,118.75,177.75,420.5925
415,1466,209.4285714286,236,156,170.5,494.2514285714
416,193,96.5,80,150.5,120.75,77.2
417,209,209,63,145,115.875,131.67
418,0,0,87,116.5,117.625,0
419,84,84,85,78.75,117.375,71.4
420,209,209,102,84.25,117.375,213.18
421,1256,209.3333333333,233,126.75,135.875,487.7466666667
422,1675,209.375,329,187.25,151.875,688.84375
423,418,209,90,188.5,133.625,188.1
425,209,209,71,180.75,132.5,148.39
426,84,84,76,141.5,134.125,63.84
427,169,84.5,88,81.25,134.25,74.36
428,193,96.5,87,80.5,134.5,83.955
429,0,0,231,120.5,150.625,0
430,169,84.5,304,177.5,159.5,256.88
431,84,84,92,178.5,129.875,77.28
432,84,84,108,183.75,132.125,90.72
433,84,84,77,145.25,132.875,64.68
434,84,84,151,107,142.25,126.84
435,209,209,98,108.5,143.5,204.82
436,169,84.5,183,127.25,155.5,154.635
437,169,84.5,455,221.75,183.5,384.475
438,84,84,79,203.75,155.375,66.36
439,209,209,86,200.75,154.625,179.74
440,84,84,84,176,151.625,70.56
441,84,84,85,83.5,152.625,71.4
442,0,0,59,78.5,141.125,0
443,193,96.5,117,86.25,143.5,112.905
444,628,209.3333333333,160,105.25,140.625,334.9333333333
445,0,0,86,105.5,94.5,0
446,0,0,68,107.75,93.125,0
447,209,209,91,101.25,93.75,190.19
448,290,96.6666666667,91,84,94.625,87.9666666667
449,0,0,96,86.5,96,0
450,1047,209.4,216,123.5,115.625,452.304
451,837,209.25,267,167.5,134.375,558.6975
452,418,209,77,164,124,160.93
453,169,84.5,81,160.25,123.375,68.445
454,84,84,96,130.25,126.875,80.64
455,209,209,74,82,124.75,154.66
455,169,84.5,90,85.25,124.625,76.05
456,0,0,138,99.5,129.875,0
457,253,84.3333333333,188,122.5,126.375,158.5466666667
458,-209,209,76,123,102.5,158.84
459,209,209,56,114.5,99.875,117.04
460,96,96,65,96.25,97.875,62.4
461,84,84,76,68.25,95.375,63.84
462,0,0,76,68.25,95.625,0
463,0,0,162,94.75,104.625,0
464,96,96,205,129.75,113,196.8
465,153,153,92,133.75,101,140.76
466,307,153.5,95,138.5,103.375,145.825
467,153,153,83,118.75,106.75,126.99
468,153,153,78,87,108.375,119.34
469,206,103,98,88.5,111.125,100.94
470,153,153,209,117,127.75,319.77
471,461,153.6666666667,204,147.25,133,313.48
472,0,0,95,151.5,119.25,0
473,153,153,74,145.5,117,113.22
474,153,153,75,112,114.5,114.75
475,153,153,111,88.75,118,169.83
476,307,153.5,110,92.5,122,168.85
477,615,153.75,247,135.75,140.625,379.7625
478,461,153.6666666667,279,186.75,149.375,428.73
479,0,0,116,188,138.375,0
480,153,153,101,185.75,139.125,154.53
481,615,153.75,115,152.75,144.25,176.8125
482,153,153,122,113.5,150.125,186.66
483,307,153.5,124,115.5,151.75,190.34
484,461,153.6666666667,302,165.75,175.75,464.0733333333
485,153,153,384,233,192.875,587.52
486,307,153.5,145,238.75,176.125,222.575
487,153,153,214,261.25,188.375,327.42
488,461,153.6666666667,518,315.25,240.5,795.9933333333
489,307,153.5,636,378.25,305.625,976.26
490,769,153.8,802,542.5,390.625,1233.476
491,4002,153.9230769231,1725,920.25,590.75,2655.1730769231
492,2001,153.9230769231,1258,1105.25,710.25,1936.3523076923
493,0,0,96,970.25,674.25,0
494,769,153.8,103,795.5,669,158.414
495,153,153,84,385.25,652.75,128.52
496,309,103,70,88.25,596.75,72.1
497,153,153,76,83.25,526.75,116.28
498,153,153,125,88.75,442.125,191.25
499,307,153.5,158,107.25,246.25,242.53
500,461,153.6666666667,92,112.75,100.5,141.3733333333
501,615,153.75,86,115.25,99.25,132.225
502,153,153,77,103.25,96,117.81
503,206,103,119,93.5,100.375,122.57
504,615,153.75,84,91.5,102.125,129.15
505,307,153.5,113,98.25,106.75,173.455
506,206,103,157,118.25,110.75,161.71
507,307,153.5,71,106.25,99.875,108.985
508,309,103,76,104.25,97.875,78.28
509,288,96,81,96.25,97.25,77.76
510,0,0,57,71.25,94.75,0
511,461,153.6666666667,60,68.5,87.375,92.2
512,0,0,111,77.25,90.75,0
513,615,153.75,121,87.25,91.75,186.0375
514,307,153.5,80,93,82.125,122.8
515,-153,153,53,91.25,79.875,81.09
515,461,153.6666666667,61,78.75,78,93.7366666667
516,461,153.6666666667,51,61.25,74.25,78.37
517,153,153,65,57.5,75.25,99.45
518,153,153,115,73,82.125,175.95
519,153,153,187,104.5,91.625,286.11
520,153,153,73,110,85.625,111.69
521,309,103,80,113.75,85.625,82.4
522,103,103,79,104.75,88.875,81.37
523,309,103,80,78,91.25,82.4
524,309,103,79,79.5,94.75,81.37
525,153,153,165,100.75,107.25,252.45
526,307,153.5,190,128.5,116.625,291.65
527,153,153,103,134.25,106.125,157.59
528,307,153.5,84,135.5,107.5,128.94
529,307,153.5,83,115,107.875,127.405
530,461,153.6666666667,119,97.25,112.875,182.8633333333
531,412,103,131,104.25,119.25,134.93
532,153,153,224,139.25,137.375,342.72
533,307,153.5,343,204.25,159.625,526.505
534,153,153,91,197.25,147.25,139.23
535,153,153,95,188.25,146.25,145.35
536,0,0,89,154.5,146.875,0
537,461,153.6666666667,78,88.25,146.25,119.86
538,923,153.8333333333,82,86,141.625,126.1433333333
539,1077,153.8571428571,134,95.75,142,206.1685714286
540,1385,153.8888888889,200,123.5,139,307.7777777778
541,307,153.5,80,124,106.125,122.8
542,103,103,90,126,106,92.7
543,307,153.5,73,110.75,103.25,112.055
544,153,153,88,82.75,103.125,134.64
545,461,153.6666666667,89,85,104.5,136.7633333333
546,1231,153.875,134,96,111,206.1925
547,1539,153.9,150,115.25,113,230.85
548,1077,153.8571428571,125,124.5,103.625,192.3214285714
549,307,153.5,46,113.75,99.375,70.61
550,103,103,82,100.75,98.375,84.46
551,461,153.6666666667,112,91.25,103.25,172.1066666667
552,307,153.5,106,86.5,105.5,162.71
553,153,153,116,104,108.875,177.48
554,769,153.8,126,115,107.875,193.788
555,153,153,93,110.25,100.75,142.29
556,615,153.75,119,113.5,100,182.9625
557,769,153.8,103,110.25,107.125,158.414
558,153,153,85,100,107.5,130.05
559,307,153.5,71,94.5,102.375,108.985
560,153,153,46,76.25,94.875,70.38
561,923,153.8333333333,118,80,95.125,181.5233333333
562,206,103,74,77.25,88.625,76.22
563,153,153,86,81,87.75,131.58
564,206,103,79,89.25,82.75,81.37
565,769,153.8,85,81,80.5,130.73
566,307,153.5,83,83.25,80.25,127.405
567,1231,153.875,134,95.25,88.125,206.1925
568,1231,153.875,162,116,102.625,249.2775
569,461,153.6666666667,64,110.75,95.875,98.3466666667
570,769,153.8,77,109.25,96.25,118.426
571,153,153,93,99,97.125,142.29
572,153,153,79,78.25,97.125,120.87
573,615,153.75,100,87.25,99,153.75
574,769,153.8,175,111.75,110.5,269.15
575,923,153.8333333333,244,149.5,124.25,375.3533333333
575,461,153.6666666667,83,150.5,114.375,127.5433333333
576,461,153.6666666667,70,143,115.125,107.5666666667
577,153,153,67,116,113.875,102.51
578,307,153.5,80,75,112.25,122.8
579,307,153.5,60,69.25,109.875,92.1
580,1385,153.8888888889,157,91,117,241.6055555556
581,1231,153.875,200,124.25,120.125,307.75
582,153,153,97,128.5,101.75,148.41
583,307,153.5,87,135.25,102.25,133.545
584,307,153.5,112,124,107.5,171.92
585,461,153.6666666667,110,101.5,112.875,169.0333333333
586,153,153,91,100,114.25,139.23
587,516,103.2,163,119,127.125,168.216
588,309,103,206,142.5,133.25,212.18
589,0,0,123,145.75,123.625,0
590,307,153.5,103,148.75,124.375,158.105
591,412,103,125,139.25,129.125,128.75
592,153,153,119,117.5,130,182.07
593,153,153,119,116.5,131.125,182.07
594,206,103,183,136.5,142.625,188.49
595,153,153,212,158.25,148.75,324.36
596,307,153.5,105,154.75,136.125,161.175
597,307,153.5,118,154.5,135.5,181.13
598,0,0,114,137.25,136.875,0
599,0,0,148,121.25,139.75,0
600,1032,103.2,145,131.25,143,149.64
601,153,153,223,157.5,156,341.19
602,1238,103.1666666667,241,189.25,163.25,248.6316666667
603,307,153.5,133,185.5,153.375,204.155
604,307,153.5,177,193.5,162.375,271.695
605,153,153,99,162.5,160,151.47
605,206,103,93,125.5,157.375,95.79
606,153,153,86,113.75,149.625,131.58
607,307,153.5,131,102.25,147.875,201.085
608,153,153,184,123.5,143,281.52
609,153,153,96,124.25,124.875,146.88
610,461,153.6666666667,94,126.25,120,144.4466666667
611,0,0,97,117.75,110,0
612,153,153,89,94,108.75,136.17
613,153,153,114,98.5,111.375,174.42
614,461,153.6666666667,214,128.5,127.375,328.8466666667
615,769,153.8,198,153.75,135.75,304.524
616,153,153,59,146.25,120.125,90.27
617,0,0,139,152.5,125.5,0
618,461,153.6666666667,194,147.5,138,298.1133333333
619,615,153.75,209,150.25,152,321.3375
620,307,153.5,175,179.25,162.75,268.625
621,307,153.5,238,204,178.25,365.33
622,769,153.8,288,227.5,187.5,442.944
623,153,153,127,207,178.625,194.31
624,307,153.5,140,198.25,188.75,214.9
625,153,153,166,180.25,192.125,253.98
626,461,153.6666666667,136,142.25,184.875,208.9866666667
627,0,0,122,141,174,0
628,307,153.5,195,154.75,176.5,299.325
629,615,153.75,293,186.5,183.375,450.4875
630,153,153,105,178.75,160.5,160.65
631,461,153.6666666667,148,185.25,163.125,227.4266666667
632,153,153,106,163,158.875,162.18
633,153,153,121,120,153.25,185.13
634,153,153,103,119.5,149.125,157.59
635,461,153.6666666667,185,128.75,157,284.2833333333
